Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
FINAL,0,🏆 FINAL SCORE: 351.0 points,,,,,game_end,,2,305,,
FINAL,1,🏆 FINAL SCORE: 326.0 points,,,,,game_end,,1,330,,
FINAL,2,🏆 FINAL SCORE: 358.0 points,,,,,game_end,,3,140,,
FINAL,3,🏆 FINAL SCORE: 326.0 points,,,,,game_end,,10,405,,
FINAL,4,🏆 FINAL SCORE: 331.0 points,,,,,game_end,,1,305,,
FINAL,5,🏆 FINAL SCORE: 364.0 points,,,,,game_end,,6,520,,
FINAL,6,🏆 FINAL SCORE: 371.0 points,,,,,game_end,,0,355,,
FINAL,7,🏆 FINAL SCORE: 404.0 points,,,,,game_end,,7,470,,
FINAL,8,🏆 FINAL SCORE: 351.0 points,,,,,game_end,,1,255,,
FINAL,9,🏆 FINAL SCORE: 336.0 points,,,,,game_end,,3,380,,
FINAL,10,🏆 FINAL SCORE: 379.0 points,,,,,game_end,,7,495,,
FINAL,11,🏆 FINAL SCORE: 334.0 points,,,,,game_end,,4,545,,
FINAL,12,🏆 FINAL SCORE: 327.0 points,,,,,game_end,,0,335,,
FINAL,13,🏆 FINAL SCORE: 359.0 points,,,,,game_end,,8,470,,
FINAL,14,🏆 FINAL SCORE: 312.0 points,,,,,game_end,,5,460,,
FINAL,15,🏆 FINAL SCORE: 300.0 points,,,,,game_end,,10,350,,
FINAL,16,🏆 FINAL SCORE: 341.0 points,,,,,game_end,,0,305,,
FINAL,17,🏆 FINAL SCORE: 349.0 points,,,,,game_end,,9,395,,
FINAL,18,🏆 FINAL SCORE: 357.0 points,,,,,game_end,,1,335,,
FINAL,19,🏆 FINAL SCORE: 351.0 points,,,,,game_end,,8,305,,
FINAL,20,🏆 FINAL SCORE: 386.0 points,,,,,game_end,,3,280,,
FINAL,21,🏆 FINAL SCORE: 356.0 points,,,,,game_end,,2,330,,
FINAL,22,🏆 FINAL SCORE: 296.0 points,,,,,game_end,,4,280,,
FINAL,23,🏆 FINAL SCORE: 424.0 points,,,,,game_end,,9,470,,
FINAL,24,🏆 FINAL SCORE: 341.0 points,,,,,game_end,,6,305,,
FINAL,25,🏆 FINAL SCORE: 364.0 points,,,,,game_end,,6,470,,
FINAL,26,🏆 FINAL SCORE: 354.0 points,,,,,game_end,,7,470,,
FINAL,27,🏆 FINAL SCORE: 384.0 points,,,,,game_end,,10,420,,
FINAL,28,🏆 FINAL SCORE: 341.0 points,,,,,game_end,,2,255,,
FINAL,29,🏆 FINAL SCORE: 304.0 points,,,,,game_end,,7,420,,
