Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,1,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,1,690,N,N
2,1,SAVED healthy on LEFT side,healthy,Doctor,zombie,Child,save,left,2,660,N,N
3,1,SQUISHED zombie on LEFT side,zombie,Child,zombie,Doctor,squish,left,2,655,N,N
4,1,SQUISHED corpse on RIGHT side,healthy,Militant,corpse,Doctor,squish,right,2,650,N,N
5,1,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Doctor|Child,corpse,Child,squish,left,2,645,N,N
6,1,SAVED healthy|corpse on LEFT side,healthy|corpse,Civilian|Civilian,healthy,Child,save,left,4,615,N,N
7,1,SQUISHED zombie on LEFT side,zombie,Civilian,injured,Doctor,squish,left,4,610,N,N
8,1,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Doctor,squish,left,4,605,N,N
9,1,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Civilian,healthy,Civilian,save,left,6,575,N,N
10,1,SAVED  on RIGHT side,injured,Doctor,,,save,right,6,545,N,N
11,1,SQUISHED corpse on RIGHT side,healthy|healthy,Child|Doctor,corpse,Child,squish,right,6,540,N,N
12,1,SQUISHED  on RIGHT side,corpse,Child,,,squish,right,6,535,N,N
13,1,SAVED injured on RIGHT side,injured,Civilian,injured,Civilian,save,right,7,505,N,N
14,1,SQUISHED corpse|zombie on RIGHT side,healthy|healthy,Civilian|Civilian,corpse|zombie,Doctor|Civilian,squish,right,7,500,N,N
15,1,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Police,healthy,Civilian,squish,left,7,495,N,N
16,1,"SCRAM - Left: healthy, Right: zombie",healthy,Child,zombie,Doctor,scram,both,7,495,N,N
17,1,"SCRAM - Left: healthy, Right: zombie",healthy,Child,zombie,Doctor,scram,both,0,375,N,N
18,1,SQUISHED zombie on RIGHT side,healthy|corpse,Civilian|Child,zombie,Civilian,squish,right,0,370,N,N
19,1,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Doctor,zombie,Child,save,left,1,340,N,N
20,1,SAVED healthy on RIGHT side,healthy,Child,healthy,Militant,save,right,2,310,N,N
21,1,SQUISHED corpse on RIGHT side,healthy,Civilian,corpse,Doctor,squish,right,2,305,N,N
1,2,SQUISHED corpse on LEFT side,corpse,Civilian,,,squish,left,0,715,N,N
2,2,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Doctor|Child,healthy|healthy,Child|Civilian,squish,left,0,710,N,N
3,2,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Civilian,zombie,Doctor,save,left,2,680,N,N
4,2,SQUISHED healthy|zombie on LEFT side,healthy|zombie,Civilian|Police,healthy,Civilian,squish,left,2,675,N,N
5,2,SQUISHED zombie on LEFT side,zombie,Child,healthy,Doctor,squish,left,2,670,N,N
6,2,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Child|Civilian,zombie,Child,squish,left,2,665,N,N
7,2,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Civilian|Civilian,healthy,Civilian,squish,left,2,660,N,N
8,2,SAVED healthy|corpse on LEFT side,healthy|corpse,Civilian|Civilian,healthy,Police,save,left,4,630,N,N
9,2,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Doctor,zombie,Civilian,squish,left,4,625,N,N
10,2,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Child,healthy,Child,squish,left,4,620,N,N
11,2,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Doctor,healthy,Civilian,save,left,5,590,N,N
12,2,SAVED healthy on RIGHT side,healthy|zombie,Militant|Child,healthy,Civilian,save,right,6,560,N,N
13,2,SAVED healthy on LEFT side,healthy,Civilian,injured,Doctor,save,left,7,530,N,N
14,2,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,corpse,Child,squish,left,7,525,N,N
15,2,SQUISHED zombie on LEFT side,zombie,Civilian,zombie,Child,squish,left,7,520,N,N
16,2,SQUISHED corpse on RIGHT side,injured,Doctor,corpse,Child,squish,right,7,515,N,N
17,2,SAVED healthy on LEFT side,healthy,Militant,zombie,Militant,save,left,8,485,N,N
18,2,"SCRAM - Left: healthy|injured, Right: zombie",healthy|injured,Civilian|Child,zombie,Child,scram,both,8,485,N,N
19,2,"SCRAM - Left: healthy|injured, Right: zombie",healthy|injured,Civilian|Child,zombie,Child,scram,both,0,365,N,N
20,2,SQUISHED zombie on LEFT side,zombie,Child,healthy,Civilian,squish,left,0,360,N,N
21,2,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Militant,healthy,Militant,save,left,1,330,N,N
