episode,timestep,reward
64,1000,-9.4687
136,2000,-3.6389
203,3000,-5.7821
273,4000,-2.4043
339,5000,1.7348
406,6000,2.2313
466,7000,8.245
526,8000,11.2917
583,9000,16.3298
634,10000,26.202
683,11000,28.5061
730,12000,28.9511
777,13000,35.3426
820,14000,35.1907
868,15000,36.5417
913,16000,35.82
954,17000,40.7902
996,18000,43.3786
1039,19000,45.7302
1085,20000,46.5435
1126,21000,50.539
1165,22000,46.5205
1206,23000,47.7927
1245,24000,52.1077
1281,25000,50.6111
1320,26000,48.8026
1359,27000,53.0897
1399,28000,52.4325
1439,29000,49.6925
1479,30000,50.2225
1519,31000,52.7425
1557,32000,56.1632
1594,33000,53.0162
1628,34000,58.7029
1662,35000,56.75
1698,36000,50.9278
1732,37000,53.9382
1766,38000,58.05
1795,39000,54.5931
1827,40000,54.5719
1860,41000,57.0576
1895,42000,52.4743
1929,43000,57.4618
1965,44000,55.1833
2001,45000,54.8278
2038,46000,58.4757
2076,47000,58.2684
2115,48000,55.941
2153,49000,53.2895
2191,50000,60.8895
2228,51000,57.0622
2264,52000,56.7361
2299,53000,61.1486
2334,54000,64.3171
2370,55000,56.9722
2407,56000,60.1189
2443,57000,61.0889
2482,58000,56.3179
2521,59000,60.1179
2557,60000,60.9667
2591,61000,60.3912
2625,62000,60.8059
2658,63000,62.4758
2694,64000,59.4889
2729,65000,61.6114
2763,66000,61.7706
2798,67000,61.8
2831,68000,60.6667
2864,69000,60.9606
2897,70000,64.1727
2928,71000,66.8194
2959,72000,64.2839
2989,73000,66.8833
3018,74000,65.2
3045,75000,68.9926
3067,76000,73.3136
3090,77000,78.913
3112,78000,58.9091
3133,79000,77.1524
3153,80000,70.485
3172,81000,74.5632
3192,82000,72.44
3213,83000,73.6143
3233,84000,82.815
3253,85000,71.55
3277,86000,68.6625
3299,87000,73.2273
3327,88000,61.05
3351,89000,71.0708
3374,90000,70.1478
3396,91000,68.2591
3419,92000,69.6913
3442,93000,76.1957
3466,94000,73.6375
3490,95000,71.3625
3513,96000,72.7696
3537,97000,76.7125
3561,98000,69.5333
3586,99000,73.672
3609,100000,73.313
3629,101000,88.605
3649,102000,84.96
3670,103000,81.3143
3692,104000,76.25
3714,105000,79.2545
3735,106000,82.7095
3755,107000,83.76
3776,108000,84.2238
3796,109000,83.115
3819,110000,77.9739
3841,111000,80.9864
3865,112000,73.5167
3888,113000,76.8217
3912,114000,80.8917
3936,115000,75.6042
3962,116000,73.4346
3987,117000,69.376
4009,118000,76.2182
4031,119000,85.3591
4055,120000,79.3
4076,121000,83.1238
4101,122000,82.252
4123,123000,79.9864
4146,124000,82.2043
4168,125000,78.7091
4189,126000,85.0571
4212,127000,79.0217
4233,128000,73.9238
4254,129000,86.3667
4275,130000,80.6952
4296,131000,85.1429
4319,132000,80.3348
4342,133000,84.8478
4365,134000,81.0435
4387,135000,82.6227
4409,136000,79.4182
4432,137000,74.6217
4455,138000,79.8783
4478,139000,72.0609
4500,140000,86.7182
4520,141000,84.475
4542,142000,84.6045
4564,143000,83.9182
4590,144000,71.85
4612,145000,80.7409
4637,146000,73.18
4660,147000,77.6739
4681,148000,80.8762
4700,149000,79.2737
4722,150000,74.5591
4743,151000,78.8619
4766,152000,70.3435
4788,153000,72.4091
4810,154000,73.9227
4830,155000,81.195
4852,156000,77.6318
4874,157000,81.5409
4899,158000,72.704
4924,159000,72.48
4948,160000,70.9792
4971,161000,76.5957
4993,162000,76.6455
5014,163000,83.9333
5035,164000,84.0048
5055,165000,81.96
5074,166000,90.5579
5094,167000,78.87
5113,168000,83.7895
5133,169000,82.415
5153,170000,81.59
5173,171000,82.91
5197,172000,74.5625
5219,173000,78.3591
5241,174000,82.0227
5261,175000,90.845
5280,176000,93.8
5302,177000,86.7273
5324,178000,81.6091
5345,179000,90.2476
5368,180000,75.9826
5390,181000,84.0182
5411,182000,83.1095
5433,183000,82.3227
5454,184000,83.7286
5476,185000,76.65
