Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,0,Left: corpse|corpse (Civilian|Police) | Right: zombie (Civilian) → RL chose: SQUISH (left) → Ambulance: 0/10 people,corpse|corpse,Civilian|Police,zombie,Civilian,squish,left,0,715,N,N
2,0,Left: healthy|healthy (Doctor|Civilian) | Right: corpse (Child) → RL chose: SQUISH (right) → Ambulance: 0/10 people,healthy|healthy,Doctor|Civilian,corpse,Child,squish,right,0,710,N,N
3,0,Left: zombie|corpse (Police|Doctor) | Right: healthy (Civilian) → RL chose: SQUISH (left) → Ambulance: 0/10 people,zombie|corpse,Police|Doctor,healthy,Civilian,squish,left,0,705,N,N
4,0,Left: injured (Civilian) | Right: injured (Doctor) → RL chose: SQUISH (left) → Ambulance: 0/10 people,injured,Civilian,injured,Doctor,squish,left,0,700,N,N
5,0,Left: healthy|zombie (Militant|Child) | Right: corpse (Doctor) → RL chose: SQUISH (right) → Ambulance: 0/10 people,healthy|zombie,Militant|Child,corpse,Doctor,squish,right,0,695,N,N
6,0,Left: healthy|healthy (Child|Doctor) | Right: healthy (Doctor) → RL chose: SAVE (right) → Ambulance: 1/10 people,healthy|healthy,Child|Doctor,healthy,Doctor,save,right,1,665,N,N
7,0,Left: zombie (Doctor) | Right: healthy (Doctor) → RL chose: SQUISH (left) → Ambulance: 1/10 people,zombie,Doctor,healthy,Doctor,squish,left,1,660,N,N
8,0,Left: healthy|healthy (Civilian|Civilian) | Right: healthy (Civilian) → RL chose: SAVE (left) → Ambulance: 3/10 people,healthy|healthy,Civilian|Civilian,healthy,Civilian,save,left,3,630,N,N
9,0,Left: healthy (Civilian) | Right: healthy (Doctor) → RL chose: SAVE (right) → Ambulance: 4/10 people,healthy,Civilian,healthy,Doctor,save,right,4,600,N,N
10,0,Left: healthy|healthy (Child|Police) | Right: zombie (Civilian) → RL chose: SQUISH (right) → Ambulance: 4/10 people,healthy|healthy,Child|Police,zombie,Civilian,squish,right,4,595,N,N
11,0,Left: zombie (Doctor) | Right: corpse (Police) → RL chose: SQUISH (right) → Ambulance: 4/10 people,zombie,Doctor,corpse,Police,squish,right,4,590,N,N
12,0,Left: healthy|zombie (Civilian|Doctor) | Right: healthy (Child) → RL chose: SAVE (left) → Ambulance: 6/10 people,healthy|zombie,Civilian|Doctor,healthy,Child,save,left,6,560,N,N
13,0,Left: healthy (Doctor) | Right: corpse (Civilian) → RL chose: SQUISH (right) → Ambulance: 6/10 people,healthy,Doctor,corpse,Civilian,squish,right,6,555,N,N
14,0,Left: healthy|corpse (Civilian|Civilian) | Right: healthy (Civilian) → RL chose: SAVE (left) → Ambulance: 8/10 people,healthy|corpse,Civilian|Civilian,healthy,Civilian,save,left,8,525,N,N
15,0,Left: healthy (Doctor) | Right: healthy (Police) → RL chose: SCRAM (both) → Ambulance: 8/10 people,healthy,Doctor,healthy,Police,scram,both,8,525,N,N
16,0,Left: healthy (Doctor) | Right: healthy (Police) → RL chose: SCRAM (both) → Ambulance: 0/10 people,healthy,Doctor,healthy,Police,scram,both,0,405,N,N
17,0,Left: healthy (Civilian) | Right: corpse (Child) → RL chose: SQUISH (right) → Ambulance: 0/10 people,healthy,Civilian,corpse,Child,squish,right,0,400,N,N
18,0,Left: healthy (Militant) → RL chose: SAVE (right) → Ambulance: 0/10 people,healthy,Militant,,,save,right,0,370,N,N
19,0,Left: corpse (Doctor) | Right: corpse (Doctor) → RL chose: SQUISH (right) → Ambulance: 0/10 people,corpse,Doctor,corpse,Doctor,squish,right,0,365,N,N
20,0,Left: healthy (Militant) | Right: healthy (Civilian) → RL chose: SAVE (left) → Ambulance: 1/10 people,healthy,Militant,healthy,Civilian,save,left,1,335,N,N
21,0,Left: corpse|corpse (Civilian|Police) | Right: corpse (Civilian) → RL chose: SQUISH (right) → Ambulance: 1/10 people,corpse|corpse,Civilian|Police,corpse,Civilian,squish,right,1,330,N,N
